no;platform;category;provider_service_id;service_name;provider_original_name;min_quantity;max_quantity;daily_speed;days_for_1000;max_warning;refill_days;cost_usd_per_1000;cost_try_per_1000;profit_margin_percent;sale_price_try_per_1000;profit_try_per_1000
1;Instagram;Views;64685eab-cfd8-4690-8ea2-c925413c9a2b;Instagram Views [Max 2B | Non-Drop | 500K/day];Instagram [Reel/Video Views] [Cheapest] [500kSpeed] [Non Drop] [Budget 💰];100;2147483647;500K/day;1;Max unreachable (4,295 days);0;0.0002;0.01;500;0.06;0.05
2;Instagram;Views;8ede9fe1-8afe-47b7-b3c4-7255350a55ca;Instagram Views [Max 100M | Non-Drop | Instant | 1M–5M/day];Instagram Video/Reels Views [INSTANT] [1-5M/Day] [Non Drop] [Budget 💰];100;100000000;1M–5M/day;1;Max unreachable (100 days);0;0.0005;0.02;500;0.14;0.12
3;Instagram;Auto Engagement;c6961379-a011-48c2-9944-d2e82686ea48;Instagram Auto Engagement [Max 100M | No Refill | Instant];Instagram Auto Post Views [ Superfast Delivery ] Instant [Budget 💰];10;100000000;;;;0;0.0014;0.07;500;0.40;0.33
4;Instagram;Views;f2a0eedf-1140-4825-9176-0f8c0db0d918;Instagram Views [Max 2B | No Refill | Real Accounts | Fast Start | 500K/day];Instagram Reel Views [Max: 5M] [Start Time: 0-1 Hour] [Speed: 500K/Day] [Premium ⚡];100;2147483647;500K/day;1;Max unreachable (4,295 days);0;0.0015;0.07;500;0.43;0.36
5;Instagram;Views;a633bdfd-c273-479c-9393-9f6bfbd23bcc;Instagram Views [Max 10M | No Refill | Real Accounts | 30K–100K/day];Instagram - Views ( Video + TV + Reel ) ~ 100k ~ 30k/days ~ [ 𝔅𝗲𝙨𝘁 - 𝐒𝐩𝐞𝐞𝐝, 𝐐𝐮𝐚𝐥𝐢𝐭𝐲 ] [Premium ⚡];100;10000000;30K–100K/day;1;Max unreachable (334 days);0;0.0028;0.13;500;0.81;0.68
6;Instagram;Likes;c8de6183-faf0-4c7d-aeda-c499160e4ce2;Instagram Likes [Max 3M | 30 Days Refill | 300K/day];Instagram Likes [300k/Day] [30 Days Refill] [Budget 💰];10;3000000;300K/day;1;;30;0.0049;0.24;500;1.41;1.17
7;Instagram;Auto Engagement;b2e06a00-195c-4221-bac8-ca6d488173ab;Instagram Auto Engagement [Max 400K | 30 Days Refill | 50K–100K/day];Instagram Auto Likes [Mix ][Fast] [50-100k Speed] [30 Days Refill] [Budget 💰];10;400000;50K–100K/day;1;;30;0.0079;0.38;500;2.28;1.90
8;Instagram;Profile Reach;305edbdd-57c4-47c2-aa36-ad6950ad23eb;Instagram Turkey 🇹🇷 Profile Reach [Max 100K | No Refill | Real Accounts | Instant];🇹🇷 Instagram Premium Turkish Profile Visit | Max 100K | 75% Turkish | Instant Starts [Budget 💰];20;100000;;;;0;0.0096;0.46;500;2.76;2.30
9;Instagram;Story Views;6d6977f7-2c5d-4ba2-aeca-6e9961155dac;Instagram Turkey 🇹🇷 Story Views [Max 250K | No Refill | Real Accounts | Instant];🇹🇷 Instagram Premium Turkish Story Views | Max 100K | 100% Turkish | Single Story | Instant Starts [Budget 💰];20;250000;;;;0;0.0096;0.46;500;2.76;2.30
10;Instagram;Views;05f66baf-8dfe-4834-b3fe-38a2eb5edc55;Instagram Views [Max 250K | No Refill | Real Accounts | 10K–100K/day];Instagram - Views ( Video + TV + Reel ) ~ 250k ~ 10k-100k/days [Premium ⚡];100;250000;10K–100K/day;1;;0;0.0143;0.69;500;4.12;3.43
11;Instagram;Saves;eaa2ffd9-2873-415a-87f2-5eb501b3bfd9;Instagram Saves [Max 300K | 30 Days Refill | Instant | 50K–100K/day];Instagram Saves [0-10 Min] [50-100k/Day] [FAST] [30 Days Refill] [Budget 💰];10;300000;50K–100K/day;1;;30;0.0150;0.72;500;4.32;3.60
12;Instagram;Likes;54941a6d-bdc0-4a36-aa70-a0755f32e2ec;Instagram Likes [Max 1M | 90 Days Refill | Bot Accounts | Fast Start | 150K/day];Instagram Likes [Refill: 90D] [Max: 150K] [Start Time: 0-1 Hr] [Speed: 150K/Day] ♻️ ⛔ 💧 [Premium ⚡];1;1000000;150K/day;1;;90;0.0157;0.75;500;4.52;3.77
13;Instagram;Profile Reach;b6064514-8027-4310-ba56-5be424cbd4e8;Instagram Profile Reach [Max 1M | 30 Days Refill | Bot Accounts | Fast Start | 24K–72K/day];Instagram Likes + Impressions [Refill: 30 Days] [Max: 30K] [Start Time: 0-1 Hour] [Speed: 1-3K/Hour] ♻️ [Premium ⚡];50;1000000;24K–72K/day;1;;30;0.0157;0.75;500;4.52;3.77
14;Instagram;Profile Reach;3358da7a-fd37-4173-9228-9e186ee22c84;Instagram Turkey 🇹🇷 Profile Reach [Max 10M | No Refill | Real Accounts | Instant];🇹🇷 Instagram Premium Turkish Interaction | Profile Visit + Reach + Views + Explore | Max 100K | 75% Turkish | Instant Starts [Budget 💰];20;10000000;;;;0;0.0180;0.86;500;5.18;4.32
15;Instagram;Reactions;3eea1125-286d-4d0e-bc0f-1ae263b0c684;Instagram Turkey 🇹🇷 Reactions [Max 500K | No Refill | Real Accounts | Fast Start | 100/day];🇹🇷Instagram Likes [TURKEY] [Refill: No] [Max: 3K] [Start Time: 0-1 Hour] [Speed: 100/Day] 🔥 [Premium ⚡];10;500000;100/day;10;Max unreachable (5,000 days);0;0.0210;1.01;320;4.23;3.22
16;Instagram;Followers;6f2e7180-27b7-41c3-8826-127055e28460;Instagram Followers [Max 1M | No Refill | Fast Start | 5K/day];Instagram Followers [0-2H] [5K/Day] [OLD MIX] [No Refill] [Budget 💰];10;1000000;5K/day;1;Max unreachable (200 days);0;0.0250;1.20;320;5.04;3.84
17;Instagram;Profile Reach;1af73a61-7912-4659-87aa-25de3eb0afb7;Instagram Brazil 🇧🇷 Profile Reach [Max 2B | No Refill | Instant | 1M/day];Instagram Video Views+Impression [0-15 MIN] [Brazil 🇧🇷] [1M/D] [Budget 💰];100;2147483647;1M/day;1;Max unreachable (2,148 days);0;0.0336;1.61;320;6.77;5.16
18;Instagram;Likes;61018728-2879-4075-b0cc-97718fe88a48;Instagram Likes [Max 200K | 30 Days Refill | Real Accounts | Fast Start | 100K/day];Instagram Likes [Refill: 30D] [Low Drops] [Max: 300K] [Start Time: 0-1 Hour] [Speed: 100K/Day] ⚡⛔ [Premium ⚡];50;200000;100K/day;1;;30;0.0360;1.73;320;7.26;5.53
19;Instagram;Shares;a7ee2f44-3243-49ce-9b5a-2b9a5a41db6a;Instagram India 🇮🇳 Shares [Max 1M | 365 Days Refill | Fast Start | 100K/day];Instagram Shares [Indian] [100k/Day] [0-1Hour] [365 Days Refill] [Budget 💰];20;1000000;100K/day;1;;365;0.0390;1.87;320;7.86;5.99
20;Instagram;Story Views;2fd5a826-9a9c-4e2b-8b53-78eecb38fa36;Instagram Brazil 🇧🇷 Story Views [Max 20K | 30 Days Refill | Real Accounts | Instant];🇧🇷 Instagram Premium [Brazilian Story Views] [All Stories] [Max 100K] [Instant] 30 Days Refill [Budget 💰];20;20000;;;;30;0.0397;1.91;320;8.00;6.09
21;Instagram;Reactions;866adbef-4542-4255-bb22-87b3b320ba95;Instagram Turkey 🇹🇷 Reactions [Max 200K | 30 Days Refill | Real Accounts | 12K/day];🇹🇷👩❤️ Instagram Premium Turkish Women Like | 30 Days Refill ♻️ | Max 100K | 100% Turkish Women | 500 per Hour [Budget 💰];20;200000;12K/day;1;;30;0.0456;2.19;320;9.19;7.00
22;Instagram;Followers;ef9423c5-fb0b-4803-ae52-b111818011ce;Instagram Followers [Max 200K | 30 Days Refill | Real Accounts | Instant];Instagram Followers [Emergency] [Real Accounts] [Instant] [30 Days Refill] [Budget 💰];50;200000;;;;30;0.0529;2.54;320;10.70;8.16
23;Instagram;Likes;60cc1a17-efff-4e04-b06e-3662ee91c582;Instagram Likes [Max 300K | 30 Days Refill | Bot Accounts | Fast Start];Instagram Likes [Bots with PP] [Refill: AR30] [Max: 300K] [Start Time: 0-1 Hour] [Speed: FAST] ⛔♻️ [Premium ⚡];10;300000;;;;30;0.0558;2.68;320;11.20;8.52
