sira;platform;kategori;saglayici_servis_id;hizmet_adi;saglayici_orijinal_adi;min_adet;max_adet;gunluk_hiz;1000_adet_kac_gun;max_uyarisi;garanti_gun;maliyet_usd_1000;maliyet_try_1000;kar_marji_yuzde;satis_fiyati_try_1000;kar_try_1000
1;Instagram;İzlenme;64685eab-cfd8-4690-8ea2-c925413c9a2b;Instagram İzlenme [Max 2B | Düşüş Yok | 500K/gün];Instagram [Reel/Video Views] [Cheapest] [500kSpeed] [Non Drop] [Budget 💰];100;2147483647;500K/gün;1;Max ulaşılamaz (4.295 gün);0;0.0002;0.01;500;0.06;0.05
2;Instagram;İzlenme;8ede9fe1-8afe-47b7-b3c4-7255350a55ca;Instagram İzlenme [Max 100M | Düşüş Yok | Anında | 1M–5M/gün];Instagram Video/Reels Views [INSTANT] [1-5M/Day] [Non Drop] [Budget 💰];100;100000000;1M–5M/gün;1;Max ulaşılamaz (100 gün);0;0.0005;0.02;500;0.14;0.12
3;Instagram;Otomatik Etkileşim;c6961379-a011-48c2-9944-d2e82686ea48;Instagram Otomatik Etkileşim [Max 100M | Garantisiz | Anında];Instagram Auto Post Views [ Superfast Delivery ] Instant [Budget 💰];10;100000000;;;;0;0.0014;0.07;500;0.40;0.33
4;Instagram;İzlenme;f2a0eedf-1140-4825-9176-0f8c0db0d918;Instagram İzlenme [Max 2B | Garantisiz | Gerçek Hesap | Hızlı | 500K/gün];Instagram Reel Views [Max: 5M] [Start Time: 0-1 Hour] [Speed: 500K/Day] [Premium ⚡];100;2147483647;500K/gün;1;Max ulaşılamaz (4.295 gün);0;0.0015;0.07;500;0.43;0.36
5;Instagram;İzlenme;a633bdfd-c273-479c-9393-9f6bfbd23bcc;Instagram İzlenme [Max 10M | Garantisiz | Gerçek Hesap | 30K–100K/gün];Instagram - Views ( Video + TV + Reel ) ~ 100k ~ 30k/days ~ [ 𝔅𝗲𝙨𝘁 - 𝐒𝐩𝐞𝐞𝐝, 𝐐𝐮𝐚𝐥𝐢𝐭𝐲 ] [Premium ⚡];100;10000000;30K–100K/gün;1;Max ulaşılamaz (334 gün);0;0.0028;0.13;500;0.81;0.68
6;Instagram;Beğeni;c8de6183-faf0-4c7d-aeda-c499160e4ce2;Instagram Beğeni [Max 3M | 30 Gün Garantili | 300K/gün];Instagram Likes [300k/Day] [30 Days Refill] [Budget 💰];10;3000000;300K/gün;1;;30;0.0049;0.24;500;1.41;1.17
7;Instagram;Otomatik Etkileşim;b2e06a00-195c-4221-bac8-ca6d488173ab;Instagram Otomatik Etkileşim [Max 400K | 30 Gün Garantili | 50K–100K/gün];Instagram Auto Likes [Mix ][Fast] [50-100k Speed] [30 Days Refill] [Budget 💰];10;400000;50K–100K/gün;1;;30;0.0079;0.38;500;2.28;1.90
8;Instagram;Profil Erişimi;305edbdd-57c4-47c2-aa36-ad6950ad23eb;Instagram Türkiye 🇹🇷 Profil Erişimi [Max 100K | Garantisiz | Gerçek Hesap | Anında];🇹🇷 Instagram Premium Turkish Profile Visit | Max 100K | 75% Turkish | Instant Starts [Budget 💰];20;100000;;;;0;0.0096;0.46;500;2.76;2.30
9;Instagram;Hikaye Görüntülenme;6d6977f7-2c5d-4ba2-aeca-6e9961155dac;Instagram Türkiye 🇹🇷 Hikaye Görüntülenme [Max 250K | Garantisiz | Gerçek Hesap | Anında];🇹🇷 Instagram Premium Turkish Story Views | Max 100K | 100% Turkish | Single Story | Instant Starts [Budget 💰];20;250000;;;;0;0.0096;0.46;500;2.76;2.30
10;Instagram;İzlenme;05f66baf-8dfe-4834-b3fe-38a2eb5edc55;Instagram İzlenme [Max 250K | Garantisiz | Gerçek Hesap | 10K–100K/gün];Instagram - Views ( Video + TV + Reel ) ~ 250k ~ 10k-100k/days [Premium ⚡];100;250000;10K–100K/gün;1;;0;0.0143;0.69;500;4.12;3.43
11;Instagram;Kaydetme;eaa2ffd9-2873-415a-87f2-5eb501b3bfd9;Instagram Kaydetme [Max 300K | 30 Gün Garantili | Anında | 50K–100K/gün];Instagram Saves [0-10 Min] [50-100k/Day] [FAST] [30 Days Refill] [Budget 💰];10;300000;50K–100K/gün;1;;30;0.0150;0.72;500;4.32;3.60
12;Instagram;Beğeni;54941a6d-bdc0-4a36-aa70-a0755f32e2ec;Instagram Beğeni [Max 1M | 90 Gün Garantili | Bot Hesap | Hızlı | 150K/gün];Instagram Likes [Refill: 90D] [Max: 150K] [Start Time: 0-1 Hr] [Speed: 150K/Day] ♻️ ⛔ 💧 [Premium ⚡];1;1000000;150K/gün;1;;90;0.0157;0.75;500;4.52;3.77
13;Instagram;Profil Erişimi;b6064514-8027-4310-ba56-5be424cbd4e8;Instagram Profil Erişimi [Max 1M | 30 Gün Garantili | Bot Hesap | Hızlı | 24K–72K/gün];Instagram Likes + Impressions [Refill: 30 Days] [Max: 30K] [Start Time: 0-1 Hour] [Speed: 1-3K/Hour] ♻️ [Premium ⚡];50;1000000;24K–72K/gün;1;;30;0.0157;0.75;500;4.52;3.77
14;Instagram;Profil Erişimi;3358da7a-fd37-4173-9228-9e186ee22c84;Instagram Türkiye 🇹🇷 Profil Erişimi [Max 10M | Garantisiz | Gerçek Hesap | Anında];🇹🇷 Instagram Premium Turkish Interaction | Profile Visit + Reach + Views + Explore | Max 100K | 75% Turkish | Instant Starts [Budget 💰];20;10000000;;;;0;0.0180;0.86;500;5.18;4.32
15;Instagram;Reaksiyon;3eea1125-286d-4d0e-bc0f-1ae263b0c684;Instagram Türkiye 🇹🇷 Reaksiyon [Max 500K | Garantisiz | Gerçek Hesap | Hızlı | 100/gün];🇹🇷Instagram Likes [TURKEY] [Refill: No] [Max: 3K] [Start Time: 0-1 Hour] [Speed: 100/Day] 🔥 [Premium ⚡];10;500000;100/gün;10;Max ulaşılamaz (5.000 gün);0;0.0210;1.01;320;4.23;3.22
16;Instagram;Takipçi;6f2e7180-27b7-41c3-8826-127055e28460;Instagram Takipçi [Max 1M | Garantisiz | Hızlı | 5K/gün];Instagram Followers [0-2H] [5K/Day] [OLD MIX] [No Refill] [Budget 💰];10;1000000;5K/gün;1;Max ulaşılamaz (200 gün);0;0.0250;1.20;320;5.04;3.84
17;Instagram;Profil Erişimi;1af73a61-7912-4659-87aa-25de3eb0afb7;Instagram Brezilya 🇧🇷 Profil Erişimi [Max 2B | Garantisiz | Anında | 1M/gün];Instagram Video Views+Impression [0-15 MIN] [Brazil 🇧🇷] [1M/D] [Budget 💰];100;2147483647;1M/gün;1;Max ulaşılamaz (2.148 gün);0;0.0336;1.61;320;6.77;5.16
18;Instagram;Beğeni;61018728-2879-4075-b0cc-97718fe88a48;Instagram Beğeni [Max 200K | 30 Gün Garantili | Gerçek Hesap | Hızlı | 100K/gün];Instagram Likes [Refill: 30D] [Low Drops] [Max: 300K] [Start Time: 0-1 Hour] [Speed: 100K/Day] ⚡⛔ [Premium ⚡];50;200000;100K/gün;1;;30;0.0360;1.73;320;7.26;5.53
19;Instagram;Paylaşım;a7ee2f44-3243-49ce-9b5a-2b9a5a41db6a;Instagram Hindistan 🇮🇳 Paylaşım [Max 1M | 365 Gün Garantili | Hızlı | 100K/gün];Instagram Shares [Indian] [100k/Day] [0-1Hour] [365 Days Refill] [Budget 💰];20;1000000;100K/gün;1;;365;0.0390;1.87;320;7.86;5.99
20;Instagram;Hikaye Görüntülenme;2fd5a826-9a9c-4e2b-8b53-78eecb38fa36;Instagram Brezilya 🇧🇷 Hikaye Görüntülenme [Max 20K | 30 Gün Garantili | Gerçek Hesap | Anında];🇧🇷 Instagram Premium [Brazilian Story Views] [All Stories] [Max 100K] [Instant] 30 Days Refill [Budget 💰];20;20000;;;;30;0.0397;1.91;320;8.00;6.09
